DATE,Month,PRCP,TMAX,TMIN,AWND,TDIFF,WSF2,WSF5,intense,count of dry days,count of wet days
2017-03-14,3,0.9129999999999999,33.18181818181818,20.454545454545453,19.46125,12.727272727272727,34.0875,45.15,0,0,1
2017-03-15,3,1.0707692307692307,29.23076923076923,18.76923076923077,17.72875,10.46153846153846,28.625,39.825,1,0,2
2017-03-16,3,0.0018840579710144927,33.61538461538461,21.153846153846153,14.51125,12.46153846153846,25.875,34.6625,0,0,3
2017-03-17,3,0.0,44.083333333333336,26.666666666666668,9.48125,17.416666666666668,19.1375,26.1375,0,1,0
2017-03-18,3,0.012000000000000002,40.916666666666664,26.846153846153847,9.561250000000001,14.070512820512818,20.3125,26.8125,0,0,1
2017-03-19,3,0.04732394366197183,44.45454545454545,32.25,10.7925,12.204545454545453,21.15,28.5625,0,0,2
2017-03-20,3,0.0023943661971830986,50.61538461538461,30.666666666666668,8.52625,19.948717948717945,17.5,24.3875,0,0,3
2017-03-21,3,0.0,56.53846153846154,36.75,6.04,19.78846153846154,16.025,20.725,0,1,0
2017-03-22,3,0.0,52.0,28.076923076923077,18.23125,23.923076923076923,32.9875,46.175,0,2,0
2017-03-23,3,0.0,42.166666666666664,22.0,8.05125,20.166666666666664,17.55,23.575,0,3,0
2017-03-24,3,0.0002666666666666667,50.25,27.307692307692307,9.08625,22.942307692307693,19.875,27.65,0,0,1
2017-03-25,3,0.006666666666666666,57.90909090909091,39.083333333333336,6.79375,18.82575757575757,18.725,24.1125,0,0,2
2017-03-26,3,0.07513513513513514,48.61538461538461,37.75,10.29125,10.865384615384613,17.825000000000003,22.8625,0,0,3
2017-03-27,3,0.122125,49.75,37.833333333333336,4.80875,11.916666666666664,12.175,16.9125,0,0,4
2017-03-28,3,0.4257317073170731,49.38461538461539,40.15384615384615,7.16,9.230769230769234,16.8,21.85,0,0,5
2017-03-29,3,0.5372151898734177,55.166666666666664,41.166666666666664,12.3025,14.0,21.975,30.0375,0,0,6
2017-03-30,3,0.0013924050632911392,53.833333333333336,34.583333333333336,6.825,19.25,16.8875,22.225,0,0,7
2017-03-31,3,0.645,45.27272727272727,36.083333333333336,12.975,9.189393939393938,27.4,37.9875,0,0,8
2017-04-01,4,1.266235294117647,45.916666666666664,36.38461538461539,12.92,9.532051282051277,24.8625,34.425,1,0,9
2017-04-02,4,0.0038666666666666663,57.76923076923077,38.53846153846154,8.9475,19.230769230769226,21.7375,28.925,0,0,10
2017-04-03,4,0.0052499999999999995,62.53846153846154,40.15384615384615,6.99,22.384615384615387,18.75,24.25,0,0,11
2017-04-04,4,1.107840909090909,56.857142857142854,43.57142857142857,8.61125,13.285714285714285,20.337500000000002,28.1375,1,0,12
2017-04-05,4,0.09775,58.0,44.30769230769231,5.5925,13.692307692307693,15.9125,21.85,0,0,13
2017-04-06,4,0.19858823529411765,57.142857142857146,40.57142857142857,12.66875,16.571428571428577,24.7375,34.35,0,0,14
2017-04-07,4,0.6681927710843374,51.07142857142857,39.714285714285715,15.0725,11.357142857142854,27.3875,36.6125,0,0,15
2017-04-08,4,0.01024390243902439,54.166666666666664,38.76923076923077,14.0075,15.397435897435898,24.85,35.2875,0,0,16
2017-04-09,4,0.00013157894736842105,63.23076923076923,36.76923076923077,6.766249999999999,26.461538461538467,18.0375,25.275,0,0,17
2017-04-10,4,0.0,71.35714285714286,42.285714285714285,7.915,29.071428571428577,18.7875,25.275,0,1,0
2017-04-11,4,0.0,77.64285714285714,49.714285714285715,6.51375,27.928571428571423,16.05,22.4,0,2,0
2017-04-12,4,0.005060240963855421,78.07142857142857,53.214285714285715,5.39625,24.857142857142854,18.25,24.625,0,0,1
2017-04-13,4,0.02576470588235294,68.07692307692308,46.84615384615385,9.92625,21.230769230769234,19.8875,26.75,0,0,2
2017-04-14,4,0.0,63.75,43.46153846153846,5.70375,20.28846153846154,14.1875,18.775,0,1,0
2017-04-15,4,0.0,64.5,43.07692307692308,7.8,21.42307692307692,17.75,23.375,0,2,0
2017-04-16,4,0.0025,78.0,54.0,11.185,24.0,26.8625,37.3875,0,0,1
2017-04-17,4,0.010120481927710843,78.14285714285714,57.46153846153846,11.52,20.68131868131868,22.2625,30.425,0,0,2
2017-04-18,4,0.004415584415584416,66.92857142857143,46.285714285714285,9.535,20.642857142857146,18.75,24.45,0,0,3
2017-04-19,4,0.0024691358024691358,57.785714285714285,43.285714285714285,10.01,14.5,18.75,24.7375,0,0,4
2017-04-20,4,0.1121111111111111,60.214285714285715,47.142857142857146,5.45375,13.07142857142857,14.9375,19.3625,0,0,5
2017-04-21,4,0.24465116279069765,58.583333333333336,48.38461538461539,8.30375,10.198717948717949,16.1625,21.5125,0,0,6
2017-04-22,4,0.05790123456790124,55.333333333333336,48.23076923076923,6.20625,7.102564102564102,15.8,21.1375,0,0,7
2017-04-23,4,0.07037037037037037,61.23076923076923,44.0,6.99125,17.230769230769234,15.075,20.1625,0,0,8
2017-04-24,4,0.00036585365853658537,61.0,43.76923076923077,5.00375,17.230769230769234,12.075,16.1625,0,0,9
2017-04-25,4,0.19593023255813954,57.57142857142857,47.714285714285715,14.875,9.857142857142854,24.85,34.0,0,0,10
2017-04-26,4,1.0058888888888888,59.642857142857146,51.57142857142857,6.93375,8.071428571428577,18.2625,23.6,1,0,11
2017-04-27,4,0.049772727272727274,65.64285714285714,54.714285714285715,5.59375,10.928571428571423,16.6625,23.2125,0,0,12
2017-04-28,4,0.01647058823529412,77.92307692307692,56.30769230769231,5.75875,21.615384615384613,17.3875,23.5125,0,0,13
2017-04-29,4,0.22329411764705884,84.38461538461539,60.76923076923077,9.95375,23.61538461538462,28.525,39.2375,0,0,14
2017-04-30,4,0.003924050632911393,74.0,51.92307692307692,9.47875,22.07692307692308,18.8125,25.6375,0,0,15
2017-05-01,5,0.004880952380952381,69.3076923076923,48.69230769230769,8.3325,20.615384615384613,18.4125,26.6375,0,0,16
2017-05-02,5,0.04847058823529412,74.42857142857143,56.0,13.81125,18.42857142857143,31.85,42.475,0,0,17
2017-05-03,5,0.0022891566265060242,69.0,50.785714285714285,13.0025,18.214285714285715,24.625,35.3625,0,0,18
2017-05-04,5,0.0,63.142857142857146,43.07142857142857,8.44375,20.071428571428577,18.1375,24.9,0,1,0
2017-05-05,5,0.3332954545454545,61.07142857142857,47.785714285714285,11.0175,13.285714285714285,22.65,30.7625,0,0,1
2017-05-06,5,1.6287777777777779,64.23076923076923,51.84615384615385,12.89125,12.38461538461538,23.6375,32.0875,1,0,2
2017-05-07,5,0.05865853658536585,59.23076923076923,46.92307692307692,10.848749999999999,12.307692307692314,20.6,26.9875,0,0,3
2017-05-08,5,0.03337349397590361,58.357142857142854,41.142857142857146,9.39625,17.214285714285708,21.674999999999997,30.9,0,0,4
2017-05-09,5,0.0006097560975609756,60.30769230769231,44.0,6.234999999999999,16.307692307692307,14.6875,18.6625,0,0,5
